transaction_description,transaction_amount,transaction_account_type
0011393060001 Transfer to Macquarie Bank - Receipt 461836 To 182741 393060001,-342.52,transaction
0318352 Transfer to Jimboomba Gymnastics Club - Receipt 32981 To 124190 22552503,-157.5,transaction
0REGENTVILLE PS 2951 Visa Purchase - Receipt 143215 In REGENTVILLE Date 04 Mar 2019 Card xxxxxxxxxxxx7915,-49,transaction
0TUGGERAWONG PS 4097 Visa Purchase - Receipt 199427 In TUGGERAWONG Date 15 Nov 2018 Card xxxxxxxxxxxx5999,-20,transaction
1001026 Transfer to Blink Property - Receipt 674787 To 034215 656221,-710,transaction
1091 OPSM Visa Purchase - Receipt 144148 In MELBOURNE Date 04 Apr 2019 Card xxxxxxxxxxxx4237,-119,transaction
136 ALLIANCE Visa Purchase - Receipt 149696 In MELBOURNE Date 15 Feb 2019 Card xxxxxxxxxxxx4237,-35,transaction
1800 PARK NE Visa Cash Withdrawal - Receipt 128609 Foreign Currency Amount: USD 105.00 In PARK CITY Date 18 Feb 2019 Card xxxxxxxxxxxx9809,-147.42,transaction
183820 Transfer to Qs Law Pty Ltd TA Quinn Scattini - Receipt 289053 To 014002 453021795,-137000,transaction
1ST CHOICE 7238 Visa Purchase - Receipt 143216 In PENRITH Date 09 Feb 2019 Card xxxxxxxxxxxx7915,-7,transaction
28 DEGREES310119 Direct Debit - Receipt 134540 005444343305230069,-2041.46,transaction
380 ESN PTY LTD Visa Purchase - Receipt 165799 In MELBOURNE Date 13 Jun 2019 Card xxxxxxxxxxxx4237,-24.95,transaction
3D BUBS PTY LTD Visa Purchase - Receipt 198710 In SPRINGFIELD Date 09 Mar 2019 Card xxxxxxxxxxxx9772,-100,savings
883549 GLEN TAYLO Transfer to Tusna PTY LTD - Receipt 5910 To 012003 837702872,-1780.5,transaction
A & C CARPET CARE RACEVIEW EFTPOS Purchase - Receipt 563 Date 07 Feb 2019 Time 11:05AM Card xxxxxxxxxxxx1337,-90,savings
aa LOAN aa INTEREST 123,-20,loan
ABBOTSFORD RD P/L Visa Purchase - Receipt 135990 In PENRITH Date 15 Mar 2019 Card xxxxxxxxxxxx8240,-125.95,transaction
ABCGuilin City-Guilin City-Hold for ATM debits,-200.2,transaction
ABCOE DISTRIBUTORS P Visa Purchase - Receipt 166618 In SOUTH PENRIT Date 31 Dec 2018 Card xxxxxxxxxxxx3306,-10.3,transaction
ABOUT-FACE LASER AND NORTH LAKES EFTPOS Purchase - Receipt 2488 Date 16 Feb 2019 Time 11:11AM Card xxxxxxxxxxxx5999,-300,transaction
